0,99,10,614,-1794,553,332,-24,16
1,98,11,661,-886,1095,390,-71,45
5,94,10,895,287,1833,487,-21,55
7,96,11,1272,1090,3285,664,17,73
7,99,11,1066,324,5060,933,-23,61
15,98,11,1213,883,6204,1262,-12,56
32,100,17,1807,2478,7315,1649,33,51
-30,114,4,675,8036,14553,2435,453,13
-7,105,8,2555,3395,1712,2526,166,143
-1,105,12,217,3862,-206,2515,177,23
-13,102,3,-317,244,939,2565,19,-7
-11,104,0,186,-2366,-2998,2403,-120,23
-5,108,8,1702,-1932,-5851,2093,-110,105
2,105,10,378,-1228,-5909,1779,-90,35
7,95,8,177,-572,-3454,1596,-69,20
5,92,9,1269,272,515,1624,-20,77
-1,95,12,1407,-390,2962,1781,-39,81
-3,99,13,1266,-1479,3962,1991,-89,71
-2,100,14,1099,-878,3690,2187,-61,60
0,100,14,956,1472,3088,2354,54,55
0,99,13,854,2508,3765,2557,108,53
-5,98,7,1100,2605,5187,2827,119,71
-13,96,-5,4414,706,6986,3197,44,229
-28,107,-6,11895,-7686,11230,3815,-369,606
-41,-113,27,17085,-14772,15995,4662,-710,831
-37,-74,41,6371,-16792,12893,5333,-815,288
-38,-48,28,-5309,-17924,6356,5670,-893,-282
2,-32,4,-14980,-5995,-5099,5394,-336,-743
25,-31,-26,-21743,-5951,-9600,4886,-350,-1104
30,-61,-48,-24418,-238,-10356,4337,-69,-1268
25,-108,-50,-22704,5852,-9698,3823,238,-1198
21,122,-26,-23122,4454,-10233,3270,170,-1221
8,72,-37,-24418,2,-7856,2854,-45,-1315
13,52,-17,-24418,8719,-11288,2255,365,-1295
9,20,-24,-24418,15452,-15492,1434,695,-1413
-4,-6,-18,-24317,4310,-16373,567,246,-1633
25,-26,-30,-9017,8978,-10369,7,311,-921
9,-10,0,-1638,1452,1997,113,-113,-599
-10,12,15,740,46,5960,428,94,-150
-27,4,16,1948,7255,6004,747,579,-189
-20,28,42,8674,-5733,8114,1185,-234,252
-47,11,54,15549,-11330,16230,2045,-437,505
-80,74,-124,25607,-3086,20904,3153,-68,1084
-95,104,-104,23533,-7700,22560,4349,-304,997
104,96,-78,19099,-5360,13983,5104,-152,758
126,77,-104,12543,-5111,4519,5343,-133,401
-81,39,109,20184,-5144,1737,5435,-144,769
-49,92,117,25607,-10720,9227,5924,-494,1125
-32,-122,102,20509,1953,13258,6640,122,948
-50,-104,74,3761,4545,3636,6833,274,108
-43,-119,46,802,67,1214,6897,47,-19
-24,-116,30,1859,1302,3220,7068,83,71
-33,-117,16,-4113,-3694,920,7118,-159,-235
-7,-118,9,-3395,-1102,1627,7204,-65,-154
-11,-120,13,-5068,-3047,3208,7374,-157,-249
-17,117,9,-12411,562,-1960,7270,40,-631
-10,104,15,-22640,5497,-10628,6696,284,-1175
-6,86,0,-24418,7725,-18586,5711,387,-1220
