14,95,14,1536,-2,7427,4742,-6,-6
18,103,12,1695,667,9888,5266,21,75
12,104,8,2977,4951,9842,5788,252,156
4,104,10,3826,6732,8484,6246,367,210
0,105,11,2318,4066,7754,6657,233,131
2,104,7,1894,1377,7294,7043,90,116
3,104,8,2753,1257,6206,7372,82,157
2,101,10,2915,1135,4782,7631,80,164
7,98,12,3433,2436,3113,7796,132,176
11,100,19,4096,7190,1813,7892,367,195
0,100,24,1967,6554,1518,7972,360,82
-48,114,39,-530,-4289,2662,8116,-108,-104
-29,109,50,-2207,-9447,-2497,7984,-397,-187
-47,-114,75,-2450,-7997,-4433,7749,-314,-215
-47,-102,71,-2891,-8290,-3481,7568,-324,-222
-25,-80,52,-524,-9751,-3921,7356,-447,-62
0,-66,35,-3278,-10896,-2852,7202,-538,-174
16,-86,15,-14452,-9189,-5076,6938,-453,-714
26,-124,0,-17030,-3160,-8196,6503,-178,-873
17,102,5,-16888,-46,-9873,5970,-14,-879
13,73,12,-17193,-1799,-8459,5522,-106,-893
0,54,24,-17668,-696,-6417,5182,-7,-959
-6,34,32,-22278,733,-7933,4761,95,-1273
-7,5,26,-24291,598,-7018,4382,123,-1533
-14,-22,16,-19707,2022,-4528,4142,242,-1506
-30,-34,19,-11433,-1454,-724,4104,104,-1078
-39,-42,25,-1471,-6228,2389,4231,-136,-567
-46,-34,47,4207,-6783,4470,4472,-171,-213
-44,-29,61,6300,-7346,5121,4743,-215,-88
-46,-18,80,7541,-6203,7200,5125,-170,15
-57,-14,88,9130,-8805,7807,5539,-290,110
-51,0,98,9366,-6221,8159,5979,-184,163
-49,9,101,9221,-6291,8646,6438,-190,166
-54,12,98,9356,-6136,7781,6850,-170,178
-51,22,105,10918,-5627,7938,7271,-157,276
-48,25,111,12345,-5469,6600,7621,-159,353
-49,43,122,13695,-8068,8562,8083,-307,459
-39,52,113,16118,-4322,9533,8588,-123,592
-39,85,105,20682,-7474,9436,9088,-289,878
-40,106,89,21524,-10738,8292,9528,-454,962
-21,-118,100,15803,-5241,2584,9668,-216,710
-35,-107,99,-720,-4081,2178,9783,-135,-139
-19,-124,73,-12110,-4480,-1219,9718,-172,-697
-18,110,56,-13912,-1972,-2077,9608,-40,-783
-13,89,54,-13328,-2120,-1978,9501,-53,-782
-17,71,55,-14644,-1134,-2724,9357,12,-864
-14,45,53,-14984,-21,-3803,9155,73,-926
-21,27,54,-17236,242,-4285,8933,116,-1080
-23,5,46,-20094,320,-3922,8721,151,-1340
-25,-16,40,-19156,755,-3824,8518,186,-1374
-25,-30,31,-16802,1018,-2476,8387,198,-1325
-33,-43,22,-11680,-889,-1155,8325,121,-1104
-27,-38,27,-5404,-4584,2182,8443,-89,-781
-43,-38,42,938,-2152,3375,8622,66,-402
-39,-44,58,1498,-4476,3088,8786,-89,-375
-40,-51,62,4505,-4876,3434,8968,-115,-231
-41,-43,72,8872,-7582,5458,9263,-260,27
-41,-28,86,10349,-6372,7355,9653,-198,138
-44,-16,94,12990,-5002,8382,10097,-128,302
-51,-4,102,13205,-6402,8257,10535,-192,340
-46,15,107,12305,-5522,7973,10965,-166,344
-49,18,108,12960,-9228,6526,11311,-345,371
-38,24,113,12624,-10373,5820,11619,-426,366
-25,32,119,14189,-8188,5949,11935,-343,457
-29,47,117,17647,-5470,8778,12409,-203,676
-37,70,112,18584,-6427,8109,12839,-236,745
-36,87,77,22002,-6627,3024,12999,-241,979
-28,119,76,23821,-7381,-605,12967,-302,1111
-22,-123,90,11101,-4116,1411,13043,-155,473
-29,-126,76,-740,-3818,4442,13279,-123,-128
-21,120,61,-3791,-5518,4631,13524,-218,-268
-23,117,66,-6558,-3324,2056,13633,-102,-420
-19,112,63,-10402,-2125,-991,13580,-48,-624
-19,100,59,-13120,-2318,-1032,13526,-51,-745
-19,80,54,-13278,-2040,-824,13482,-31,-780
-21,60,51,-11844,465,-3054,13320,111,-735
-25,44,52,-11204,1045,-5850,13004,162,-755
-25,28,53,-12084,2405,-6542,12657,240,-835
-26,10,53,-14704,-561,-5076,12388,102,-1030
-23,-6,42,-16223,-2999,-1932,12286,-12,-1177
-29,-20,45,-16268,-5707,418,12309,-148,-1247
-28,-33,46,-11812,-5686,2230,12427,-155,-1049
-31,-37,54,-6899,-5388,4523,12667,-145,-795
-40,-26,64,55,-3383,6426,13007,-25,-397
-46,-29,69,1944,-6594,6236,13344,-187,-298
-45,-29,81,3508,-8306,6197,13672,-284,-213
-29,-27,95,7308,-8280,7025,14045,-327,-12
-40,-13,102,9174,-6844,8597,14500,-235,115
-44,-1,103,9069,-6147,7827,14923,-199,145
-44,4,93,10822,-7516,6390,15262,-253,237
-35,9,81,17250,-11134,6935,15629,-445,579
-19,51,98,22185,-7528,7921,16049,-316,914
-19,68,116,16244,-8383,8991,16535,-375,640
-22,70,104,13791,-4673,6107,16858,-169,512
-15,77,94,18052,-3269,1807,16954,-109,750
-15,103,94,20284,-1637,5462,17244,-30,898
-22,118,88,14958,-4820,6211,17579,-188,662
-17,125,73,9523,-3075,3896,17786,-102,397
-19,-125,68,3221,-3280,3416,17967,-110,88
-17,-125,65,-3217,-4742,3528,18154,-187,-235
-7,127,67,-6667,-3168,1929,18258,-124,-420
-10,123,62,-10432,-426,-67,18254,23,-601
-13,108,50,-13451,-1675,-195,18244,-32,-749
-15,86,47,-14226,-40,-1397,18170,60,-807
-15,68,50,-16133,2767,-4962,17902,211,-949
-14,47,46,-17195,4304,-7947,17481,295,-1020
-17,26,52,-18343,5472,-8015,17064,365,-1134
-31,4,39,-19862,677,-4803,16809,213,-1315
-31,-20,39,-17058,-1012,-2864,16655,113,-1296
-39,-32,38,-12463,-1522,-855,16609,100,-1080
-46,-39,45,-8346,-3852,945,16659,-17,-872
-41,-40,48,-4610,-4780,1582,16743,-83,-687
