13,98,19,209,924,-512,-325,8,1
13,98,19,119,941,-542,-353,53,6
14,98,19,-118,77,-359,-373,9,-5
15,97,19,-165,65,-262,-387,5,-10
15,97,18,-388,-19,-175,-396,0,-19
16,97,18,-18,168,-93,-401,7,-3
16,97,20,393,949,-194,-411,47,13
15,97,21,427,1671,-311,-428,87,17
15,97,19,332,2164,-198,-439,112,15
12,96,18,308,1691,49,-436,93,18
12,106,32,-843,3406,-746,-476,184,-60
-42,119,55,-3381,-689,-2020,-585,73,-241
-24,122,82,-1678,-1904,-5467,-874,-21,-170
-42,-113,100,-5728,-802,-9169,-1360,50,-383
-37,-108,79,-10977,-1927,-10313,-1907,-10,-625
-26,-111,57,-10015,-4506,-10181,-2457,-158,-557
-9,-123,37,-7307,-7505,-5969,-2773,-328,-380
11,122,35,-2446,-5206,-3269,-2946,-248,-136
5,-126,46,-5091,139,-2061,-3056,34,-282
3,107,33,-16877,2056,-6684,-3417,137,-889
9,77,29,-23501,6361,-10696,-3984,333,-1227
8,47,25,-24982,9879,-11408,-4588,502,-1331
-9,19,21,-24982,6441,-8391,-5033,435,-1415
-24,-10,24,-22356,2361,-6344,-5363,327,-1485
-20,-29,26,-16681,3337,-6039,-5689,319,-1335
-39,-42,25,-12609,636,-4563,-5931,222,-1115
-37,-49,32,-2050,238,-2287,-6052,178,-589
-26,-42,52,3800,-2750,552,-6023,-15,-253
-32,-36,62,5085,-1922,2560,-5885,33,-149
-36,-27,72,8014,-2583,3337,-5708,8,29
-35,-17,82,9208,-2959,2763,-5561,-21,120
-36,-11,90,11891,-5535,4059,-5346,-156,274
-37,0,103,12505,-5095,4476,-5104,-146,343
-28,12,121,13512,-2397,4993,-4840,-31,407
-40,16,118,14334,-2276,4938,-4578,-3,455
-40,40,-125,16067,-2279,4831,-4322,-13,578
-27,48,116,18526,-23,4328,-4088,84,744
-40,84,121,18975,-2825,6395,-3749,-45,795
-22,96,97,18580,-2911,3389,-3570,-73,816
-27,123,95,16069,-1265,3834,-3366,13,717
-17,-125,86,7384,-1689,2537,-3229,-24,303
-19,-122,79,-3175,614,-1020,-3283,97,-230
-10,123,62,-11094,379,-3599,-3474,74,-617
-8,105,53,-12766,629,-4230,-3698,86,-702
