-83,16,-71,-2136,3954,237,208,24,36
-70,12,-79,-2805,1768,-1698,118,73,-107
-63,12,-80,-2473,2316,-3143,-48,87,-88
-58,13,-76,-2619,2614,-3903,-255,100,-93
-57,13,-74,-3122,2799,-3804,-460,111,-120
-58,13,-76,-3595,3092,-3761,-656,119,-139
-64,11,-78,-3740,3089,-4168,-877,131,-156
-73,12,-82,-3957,2304,-5685,-1178,100,-167
-77,11,-90,-3991,961,-8438,-1634,29,-176
-80,16,-97,-3724,-3212,-12512,-2297,-188,-150
-72,18,-89,-2781,-9295,-15048,-3095,-501,-97
-41,18,-79,-3207,-11218,-16380,-3963,-644,-107
-48,14,-59,-7853,-3337,-14523,-4747,-202,-355
-97,-10,-59,-13886,2965,-13658,-5471,202,-719
-127,-11,-73,-15108,3185,-15068,-6269,220,-777
-101,-20,-86,-17140,1871,-16329,-7135,107,-898
-98,-28,-83,-9569,5060,-18654,-8142,272,-537
-77,0,-64,-8512,5725,-15453,-8961,309,-425
-41,-21,-71,-13458,5716,-11510,-9571,225,-733
-14,-4,-65,-8530,802,-4918,-9832,-91,-441
0,13,-64,-10162,-1611,-464,-9857,-266,-470
-3,16,-73,-7173,-1674,-450,-9881,-256,-306
-29,19,-83,-6950,4279,-2487,-10013,112,-295
-34,11,-88,-3516,2679,-3223,-10184,38,-141
-47,4,-91,-657,322,-4737,-10440,-55,-15
-23,7,-91,2023,-1437,-4248,-10665,-198,129
-27,0,-81,5917,-2058,-987,-10717,-212,311
-31,-6,-68,6808,-3843,256,-10703,-278,336
-34,-4,-57,9266,-1522,3260,-10527,-138,472
-54,-6,-41,9922,1483,4285,-10300,102,492
-63,-21,-37,8888,1928,4344,-10070,139,394
-74,-26,-43,3930,5234,3801,-9868,307,139
-84,-23,-45,2728,3669,3198,-9696,243,95
-77,-28,-49,1224,3766,4834,-9444,220,1
-90,-7,-65,-1677,4835,4305,-9216,280,-91
-95,-5,-86,-5006,9388,7124,-8839,486,-255
125,-51,-90,-4011,9702,7752,-8420,528,-270
127,-36,-84,-385,-32,3567,-8231,34,-64
-98,-29,-86,4214,-190,950,-8181,-2,172
-106,-28,-79,4582,-2492,-1788,-8275,-101,192
-98,-37,-79,6527,-4729,-2449,-8408,-233,280
-89,-45,-78,7516,-3407,-4020,-8621,-176,307
-108,-45,-58,5135,-4885,-5044,-8888,-206,188
-94,-36,-48,4827,-713,-2845,-9039,11,177
-57,-36,-43,3403,-3239,-2334,-9165,-168,76
-62,-13,-17,2022,5070,4267,-8939,359,65
-50,-14,-22,-210,8125,6562,-8591,480,-62
-65,4,-22,-583,10587,4097,-8374,640,-4
-56,15,-35,-6550,8254,-384,-8395,467,-277
-49,6,-57,-7546,6142,-987,-8447,292,-354
-55,17,-76,-4769,7082,1919,-8345,320,-192
-79,15,-86,-3862,5722,-1253,-8412,277,-157
-86,16,-69,-2050,3325,-3387,-8594,192,-63
-84,13,-64,-1507,-2864,-3119,-8760,-119,-38
-74,19,-59,-1871,-3009,-3780,-8960,-136,-39
-81,16,-57,-3777,-2597,-6292,-9294,-99,-145
-79,14,-50,-4551,-3847,-8519,-9754,-154,-191
-74,0,-41,-3345,-2071,-8413,-10200,-44,-160
-63,-2,-35,-1024,-3840,-8262,-10638,-133,-52
-58,-16,-26,-1492,1656,-7331,-11026,151,-125
-67,-23,-22,-5356,-3724,-8652,-11493,-117,-340
-77,-28,-20,-5803,-3682,-6578,-11842,-106,-365
-81,-56,-30,-8764,-3074,-7053,-12216,-130,-568
-107,-45,-20,-6848,-3382,-6081,-12538,-92,-429
-81,-54,-15,-9965,-403,-5462,-12833,18,-640
-106,-49,-50,-16486,8605,1931,-12731,481,-921
108,-60,-57,-13153,3857,-2435,-12860,257,-743
-114,-43,-48,-9585,1499,-6120,-13184,136,-555
-113,-37,-45,-8837,392,-8652,-13652,88,-518
-114,-40,-42,-7891,-707,-11315,-14251,33,-466
-119,-40,-32,-8504,-703,-12340,-14905,48,-496
-113,-41,-31,-9850,-2103,-11261,-15502,-27,-570
-110,-25,-33,-12753,-822,-9545,-16018,51,-703
-85,-39,-49,-12137,-930,-5125,-16289,-15,-696
-72,-30,-52,-14286,3317,-8230,-16725,187,-793
-67,-26,-44,-8631,8474,-3972,-16936,459,-503
-39,-28,-50,-12827,5726,-8113,-17374,252,-753
-37,-31,-43,-10105,7525,-4657,-17621,339,-621
-12,-23,-56,-14720,9877,-7572,-18022,367,-830
-4,-10,-74,-3575,4482,3373,-17843,59,-204
-62,33,-78,-5601,4468,4628,-17594,194,-207
-52,10,-99,-7882,-395,-895,-17641,-91,-371
-58,4,-87,-4337,1162,-2511,-17772,10,-198
-55,-3,-86,-3475,58,-3271,-17945,-48,-176
-60,0,-87,-1926,-428,-2732,-18090,-64,-88
-54,0,-93,-1695,-3978,-3716,-18291,-266,-80
-50,6,-84,-130,-5155,-3907,-18498,-320,16
-50,1,-72,776,-5291,-3208,-18668,-312,51
-42,-9,-63,2966,-6218,-3545,-18856,-363,131
-46,-9,-42,4395,-993,-475,-18881,-44,201
-47,-12,-46,6564,-3447,1782,-18787,-178,300
-70,-16,-19,7253,-3484,837,-18742,-77,326
-52,-3,-13,4342,3567,4764,-18490,299,216
-97,-19,-19,4391,4262,6038,-18164,334,191
-94,7,-35,3327,6160,5642,-17865,407,194
127,-1,-53,3398,6240,2725,-17720,405,179
-113,-3,-64,1178,6019,1979,-17615,366,63
84,-43,-44,3523,8736,7371,-17217,551,135
124,-30,-65,290,-199,414,-17195,53,-23
-93,-7,-56,1377,1967,-1573,-17279,151,63
-96,-8,-48,-520,1648,-2600,-17417,153,-35
-91,-16,-57,142,705,-1469,-17496,81,-19
-95,-31,-58,3184,-119,-700,-17533,32,107
-108,-36,-59,2778,430,351,-17514,69,84
-114,-35,-59,1729,-2232,930,-17465,-59,35
-95,-29,-58,4970,1160,2447,-17333,100,207
-93,-9,-47,804,-1940,-680,-17369,-30,27
-75,-11,-40,1407,5749,4037,-17155,353,51
-79,7,-22,-466,2483,3329,-16979,237,6
-52,16,-23,-3603,2650,2283,-16855,200,-114
-69,24,-26,-4189,1186,1594,-16771,127,-130
-42,47,-38,-5940,-629,576,-16740,-75,-134
-51,32,-58,-6366,5996,-278,-16755,273,-223
-81,35,-54,-3394,7147,-2650,-16898,395,-88
-90,29,-50,-1588,4887,-3244,-17070,295,-9
-93,29,-47,-1371,841,-3139,-17236,97,1
