-201,61,36,-1117,158,140,1,1180
-168,57,42,-1672,127,124,1,1587
-122,35,36,-2460,125,109,1,2550
-101,20,34,-3383,110,63,1,3382
-45,12,31,-4144,48,81,1,4210
0,-15,7,-4676,-140,-263,0,5061
20,-30,-24,-4859,-253,-163,0,-4793
-12,-19,-47,-4522,-64,-61,0,4511
-48,0,-65,-3831,33,40,1,-3732
-96,20,-77,-3078,104,96,1,-3082
-143,39,-71,-2405,146,129,1,-2460
-189,54,-63,-1969,183,130,1,-1843
-220,50,-53,-1746,165,126,1,-1749
-201,57,-31,-1885,151,137,1,-1967
-156,43,-15,-2435,148,126,1,-2518
-110,31,7,-3244,127,94,1,3324
-81,15,17,-4050,130,72,1,3926
-28,-2,20,-4703,42,2,1,-4732
3,-18,4,-5076,-191,-283,0,4707
25,-15,-36,-5103,-250,-59,1,-4891
-28,0,-60,-4748,-22,28,1,4769
-49,14,-90,-4167,7,67,1,-4199
-114,32,-94,-3459,89,97,1,-3510
-150,48,-83,-2878,128,130,1,-3020
-187,57,-69,-2529,134,138,1,-2345
-188,63,-43,-2565,139,148,1,-2743
-168,53,-24,-2973,140,139,1,-2846
-131,43,-2,-3610,127,126,1,-3764
-102,28,10,-4377,137,113,1,4496
-62,12,11,-5099,117,68,1,5090
-36,-3,13,-5701,127,18,1,-5639
-6,-9,-3,-6174,-22,-200,0,6338
-18,-19,-23,-6381,-26,-119,0,6292
-3,-8,-58,-6279,-107,-8,0,6357
-93,0,-74,-5821,77,47,1,-5833
-102,16,-71,-5145,105,89,1,-5145
-168,34,-57,-4551,170,122,1,-4521
-194,49,-37,-4127,186,137,1,-4347
-206,56,-16,-4036,168,140,1,-3871
-180,54,1,-4312,156,137,1,4165
-137,45,16,-4896,122,126,1,5037
-96,29,26,-5559,106,101,1,5602
-74,19,25,-6212,99,77,1,6189
-35,2,15,-6793,100,24,1,6872
-2,-6,-5,-7161,-86,-158,0,6962
-1,-20,-37,-7180,-110,-92,0,7176
-43,-4,-64,-6753,12,19,1,6762
-100,3,-81,-6145,89,53,1,-6240
-125,19,-74,-5691,121,106,1,-5645
-183,44,-51,-5313,166,130,1,-5200
-185,51,-29,-5213,167,135,1,-5353
-181,49,-10,-5417,166,131,1,-5507
-149,43,9,-5887,153,133,1,5719
-123,31,21,-6540,146,113,1,6427
-94,21,23,-7258,128,96,1,7397
-53,5,23,-7868,99,37,1,7896
-23,-2,14,-8344,83,15,0,-8401
5,-14,-15,-8552,-188,-151,0,-8527
-33,-3,-42,-8463,13,2,1,8457
-46,-3,-66,-8021,19,39,1,7949
-92,12,-60,-7532,115,75,1,-7485
-114,22,-62,-7050,137,96,1,-6970
-170,32,-72,-6685,154,105,1,-6691
-199,39,-56,-6541,177,116,1,-6557
-200,51,-31,-6685,154,130,1,-6894
-166,46,-2,-7128,142,126,1,-7087
-120,41,21,-7787,98,119,1,7735
