15,99,-22,-107,-5,-12,0,30
15,98,-23,-127,1,-12,0,-14
13,100,-23,-152,3,-10,0,-225
13,99,-24,-170,1,-12,0,-217
11,99,-23,-187,4,-8,0,-198
13,99,-23,-206,-1,-10,0,190
13,100,-23,-221,-1,-11,0,171
14,99,-24,-240,-4,-12,0,159
15,100,-23,-263,-5,-12,0,374
14,100,-22,-293,0,-10,0,-337
9,108,-21,-370,18,1,0,273
-8,116,-24,-597,62,0,0,-525
-27,126,-25,-1097,92,-21,1,1151
-33,129,-32,-1921,89,-39,1,1858
-47,127,-30,-2969,97,-54,1,2947
-41,127,-14,-4090,89,-33,1,4057
-60,106,-3,-5291,150,-77,0,5153
-68,87,-6,-6477,174,-110,1,6557
-98,65,-8,-7660,246,-176,1,7574
-88,36,-20,-8814,275,-222,1,9152
-112,-14,-31,-9973,319,-319,1,-9867
-105,-24,-27,-11113,257,-324,1,-11085
-74,-40,-17,-12245,236,-400,1,-11979
-77,-48,1,-13395,221,-418,1,13647
-46,-42,34,-14524,149,-445,1,14775
-45,-53,32,-15550,124,-482,1,15643
0,-53,34,-16444,-5,-547,0,16905
-21,-77,43,-17274,67,-538,0,16722
17,-84,65,-17964,-16,-510,0,18392
-1,-82,40,-18520,27,-553,0,18975
37,-69,6,-18901,-67,-519,1,19444
6,-36,21,-19166,45,-483,0,-19233
-9,5,28,-19169,136,-226,0,-19099
-16,25,30,-18994,173,-94,0,-19148
-34,36,18,-18900,256,-69,1,-18564
-68,42,22,-18911,333,-93,1,-18612
-84,47,32,-19043,290,-139,1,-19350
-87,58,38,-19267,248,-163,1,-19282
-79,43,30,-19473,252,-204,1,-19552
-91,39,48,-19585,235,-254,1,-19673
-86,31,64,-19500,200,-296,1,-19918
-75,21,73,-19402,173,-331,1,-19004
-72,6,82,-19383,134,-395,1,-19115
-48,-12,90,-19436,108,-387,1,19064
-48,-37,101,-19532,80,-458,1,19903
-35,-54,98,-19626,42,-485,1,19729
-3,-68,86,-19767,3,-502,0,19669
8,-85,76,-20068,-13,-549,0,19545
7,-92,52,-20451,3,-572,0,-19889
0,-101,25,-20860,13,-618,0,-21345
26,-88,3,-21171,-43,-580,1,20630
34,-67,-2,-21418,-30,-507,1,-21037
1,-27,27,-21610,85,-418,0,-21920
-12,-9,40,-21658,150,-291,0,21764
-26,7,46,-21620,201,-208,1,-21575
-35,20,30,-21604,269,-146,1,-21973
-68,28,30,-21598,322,-156,1,-21959
-77,40,39,-21654,287,-155,1,-21841
-94,62,29,-21748,262,-162,1,-21802
-90,49,31,-21898,255,-200,1,-21958
-83,31,33,-22011,261,-245,1,-21605
-90,38,56,-21947,224,-250,1,-21992
-72,35,72,-21725,163,-295,1,-21879
-66,18,78,-21474,132,-368,1,-21013
-41,-7,77,-21254,100,-378,1,21112
-32,-27,95,-21049,45,-445,1,21488
-12,-49,107,-20860,13,-457,0,20716
1,-68,106,-20785,5,-496,0,-20721
-1,-82,86,-20974,13,-532,0,21494
12,-94,63,-21308,-25,-564,0,20860
32,-100,40,-21726,-44,-572,1,22181
25,-90,14,-22118,-19,-585,1,21618
29,-74,-5,-22323,-23,-532,1,-21861
6,-35,16,-22377,31,-493,0,-22190
-2,-12,35,-22343,68,-343,0,22143
-14,10,46,-22333,139,-190,0,-22306
-25,27,37,-22371,196,-114,1,-22515
-46,29,22,-22448,292,-121,1,-22231
-72,34,32,-22646,310,-149,1,-22930
-88,40,41,-22952,274,-206,1,-22574
-88,39,48,-23109,234,-242,1,-23069
-69,35,77,-23133,164,-274,1,-23489
-71,35,95,-22989,141,-289,1,-22617
-53,3,92,-22732,96,-377,1,-22972
-31,-20,101,-22474,60,-403,1,22028
-11,-47,104,-22281,9,-481,0,22191
-22,-64,102,-22142,44,-501,0,22507
-20,-78,88,-22145,52,-521,0,21688
-8,-82,79,-22358,29,-514,0,21842
1,-89,63,-22738,8,-542,0,-23201
16,-93,37,-23141,-17,-572,0,22564
29,-81,17,-23442,-25,-549,1,23026
3,-60,14,-23588,51,-555,0,-24079
-6,-28,28,-23571,92,-417,0,24046
-9,0,48,-23556,109,-244,0,-23720
-21,5,49,-23608,164,-222,0,-23661
